insee_code,commune_name,department_code,region_code,display_name,is_arrondissement
60493,Pisseleu,60,32,Pisseleu (60),False
52390,Pisseloup,52,44,Pisseloup (52),False
40227,Pissos,40,75,Pissos (40),False
85176,Pissotte,85,52,Pissotte (85),False
80626,Pissy,80,32,Pissy (80),False
76503,Pissy-Pôville,76,28,Pissy-Pôville (76),False
89300,Pisy,89,27,Pisy (89),False
59463,Pitgam,59,32,Pitgam (59),False
45252,Pithiviers,45,24,Pithiviers (45),False
45253,Pithiviers-le-Vieil,45,24,Pithiviers-le-Vieil (45),False
02604,Pithon,02,32,Pithon (02),False
62658,Pittefaux,62,32,Pittefaux (62),False
01297,Pizay,01,84,Pizay (01),False
72238,Pizieux,72,52,Pizieux (72),False
2B230,Piève,2B,94,Piève (2B),False
26233,Piégon,26,84,Piégon (26),False
26234,Piégros-la-Clastre,26,84,Piégros-la-Clastre (26),False
04150,Piégut,04,93,Piégut (04),False
24328,Piégut-Pluviers,24,75,Piégut-Pluviers (24),False
29160,Plabennec,29,53,Plabennec (29),False
25455,Placey,25,27,Placey (25),False
80627,Plachy-Buyon,80,32,Plachy-Buyon (80),False
53179,Placé,53,52,Placé (53),False
01298,Plagne,01,84,Plagne (01),False
31422,Plagne,31,76,Plagne (31),False
31423,Plagnole,31,76,Plagnole (31),False
11290,Plaigne,11,76,Plaigne (11),False
60494,Plailly,60,32,Plailly (60),False
25457,Plaimbois-Vennes,25,27,Plaimbois-Vennes (25),False
25456,Plaimbois-du-Miroir,25,27,Plaimbois-du-Miroir (25),False
18180,Plaimpied-Givaudins,18,24,Plaimpied-Givaudins (18),False
67377,Plaine,67,44,Plaine (67),False
22170,Plaine-Haute,22,53,Plaine-Haute (22),False
79078,Plaine-d'Argenson,79,75,Plaine-d'Argenson (79),False
57544,Plaine-de-Walsch,57,44,Plaine-de-Walsch (57),False
79196,Plaine-et-Vallées,79,75,Plaine-et-Vallées (79),False
70412,Plainemont,70,27,Plainemont (70),False
10288,Plaines-Saint-Lange,10,44,Plaines-Saint-Lange (10),False
88349,Plainfaing,88,44,Plainfaing (88),False
39422,Plainoiseau,39,27,Plainoiseau (39),False
22171,Plaintel,22,53,Plaintel (22),False
60495,Plainval,60,32,Plainval (60),False
27460,Plainville,27,28,Plainville (27),False
60496,Plainville,60,32,Plainville (60),False
12183,Plaisance,12,76,Plaisance (12),False
24168,Plaisance,24,75,Plaisance (24),False
32319,Plaisance,32,76,Plaisance (32),False
86192,Plaisance,86,75,Plaisance (86),False
31424,Plaisance-du-Touch,31,76,Plaisance-du-Touch (31),False
39423,Plaisia,39,27,Plaisia (39),False
26239,Plaisians,26,84,Plaisians (26),False
78490,Plaisir,78,11,Plaisir (78),False
34204,Plaissan,34,76,Plaissan (34),False
38308,Plan,38,84,Plan (38),False
83093,Plan-d'Aups-Sainte-Baume,83,93,Plan-d'Aups-Sainte-Baume (83),False
13076,Plan-d'Orgon,13,93,Plan-d'Orgon (13),False
26240,Plan-de-Baix,26,84,Plan-de-Baix (26),False
13075,Plan-de-Cuques,13,93,Plan-de-Cuques (13),False
73200,Planaise,73,84,Planaise (73),False
21484,Planay,21,27,Planay (21),False
73201,Planay,73,84,Planay (73),False
70413,Plancher-Bas,70,27,Plancher-Bas (70),False
70414,Plancher-les-Mines,70,27,Plancher-les-Mines (70),False
73202,Plancherine,73,84,Plancherine (73),False
61330,Planches,61,28,Planches (61),False
58210,Planchez,58,27,Planchez (58),False
22172,Plancoët,22,53,Plancoët (22),False
10289,Plancy-l'Abbaye,10,44,Plancy-l'Abbaye (10),False
42172,Planfoy,42,84,Planfoy (42),False
46221,Planioles,46,76,Planioles (46),False
14506,Planquery,14,28,Planquery (14),False
62659,Planques,62,32,Planques (62),False
52391,Planrupt,52,44,Planrupt (52),False
10290,Planty,10,44,Planty (10),False
07176,Planzolles,07,84,Planzolles (07),False
66142,Planès,66,76,Planès (66),False
66143,Planèzes,66,76,Planèzes (66),False
57545,Plappeville,57,44,Plappeville (57),False
39426,Plasne,39,27,Plasne (39),False
27463,Plasnes,27,28,Plasnes (27),False
17279,Plassac,17,75,Plassac (17),False
33325,Plassac,33,75,Plassac (33),False
16263,Plassac-Rouffiac,16,75,Plassac-Rouffiac (16),False
17280,Plassay,17,75,Plassay (17),False
01185,Plateau d'Hauteville,01,84,Plateau d'Hauteville (01),False
38395,Plateau-des-Petites-Roches,38,84,Plateau-des-Petites-Roches (38),False
07177,Plats,07,84,Plats (07),False
56157,Plaudren,56,53,Plaudren (56),False
63282,Plauzat,63,84,Plauzat (63),False
11291,Plavilla,11,76,Plavilla (11),False
24330,Plazac,24,75,Plazac (24),False
15153,Pleaux,15,84,Pleaux (15),False
35222,Pleine-Fougères,35,53,Pleine-Fougères (35),False
02605,Pleine-Selve,02,32,Pleine-Selve (02),False
33326,Pleine-Selve,33,75,Pleine-Selve (33),False
76504,Pleine-Sève,76,28,Pleine-Sève (76),False
35224,Plerguer,35,53,Plerguer (35),False
22188,Plerneuf,22,53,Plerneuf (22),False
56158,Plescop,56,53,Plescop (56),False
35225,Plesder,35,53,Plesder (35),False
22190,Pleslin-Trigavou,22,53,Pleslin-Trigavou (22),False
57546,Plesnois,57,44,Plesnois (57),False
52392,Plesnoy,52,44,Plesnoy (52),False
10291,Plessis-Barbuise,10,44,Plessis-Barbuise (10),False
91495,Plessis-Saint-Benoist,91,11,Plessis-Saint-Benoist (91),False
89302,Plessis-Saint-Jean,89,27,Plessis-Saint-Jean (89),False
60499,Plessis-de-Roye,60,32,Plessis-de-Roye (60),False
44128,Plessé,44,52,Plessé (44),False
22193,Plestan,22,53,Plestan (22),False
22194,Plestin-les-Grèves,22,53,Plestin-les-Grèves (22),False
22195,Pleubian,22,53,Pleubian (22),False
56159,Pleucadeuc,56,53,Pleucadeuc (56),False
22196,Pleudaniel,22,53,Pleudaniel (22),False
